DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,MOVEMENTS,CLOSING ODDS,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2016-2017 Regular Season,10/26/2016,Charlotte,Road,32,24,27,24,,,,,107,240,40,89,7,23,20,24,11,40,51,27,22,5,10,10,10,107,96.5,96.5,110.9,99.5,3+,Michael Kidd-Gilchrist,Marvin Williams,Roy Hibbert,Nicolas Batum,Kemba Walker,Ken Mauer,Leroy Richardson,0.0,0.0,196.0,-1  / -1.5  / -2 ,-1.5,-120,+3.5 -15,,
2016-2017 Regular Season,10/26/2016,Milwaukee,Home,24,17,25,30,,,,,96,240,39,92,3,16,15,20,10,36,46,23,22,4,8,8,5,96,96.5,96.5,99.5,110.9,3+,Mirza Teletovic,Jabari Parker,Miles Plumlee,Giannis Antetokounmpo,Matthew Dellavedova,,CJ Washington,196.0,0.0,196.0,194.5 / 194 / 194.5,195.0,+100,97,Boxscore,Odds
2016-2017 Regular Season,10/26/2016,Minnesota,Road,32,27,16,23,,,,,98,240,36,86,6,18,20,29,15,30,45,20,23,6,10,11,5,98,91.7,91.7,106.9,111.2,3+,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Zach LaVine,Ricky Rubio,Derrick Stafford,Kane Fitzgerald,197,3.5,197.0,-1.5  / -1.5 -15 / -2 -15,-1.5,-120,+2 -15,,
2016-2017 Regular Season,10/26/2016,Memphis,Home,29,21,26,26,,,,,102,240,36,80,11,24,19,27,11,34,45,19,25,6,13,13,11,102,91.7,91.7,111.2,106.9,3+,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,,Dedric Taylor,-3.5,-3.5,197.0,199.5 / 199 / 198.5,199.0,+100,100,Boxscore,Odds
2016-2017 Regular Season,10/26/2016,Denver,Road,30,30,25,22,,,,,107,240,37,83,8,24,25,33,11,47,58,18,22,7,24,25,4,107,107.6,107.6,99.5,94.8,3+,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay,Derek Richardson,Sean Wright,208.5,4.0,208.5,208.5 / 207 / 207u21,206.0,+105,101,,
2016-2017 Regular Season,10/26/2016,New Orleans,Home,24,24,29,25,,,,,102,240,38,92,3,19,23,26,5,28,33,31,29,16,11,11,5,102,107.6,107.6,94.8,99.5,3+,Solomon Hill,Anthony Davis,Omer Asik,E'Twaun Moore,Tim Frazier,,Brent Barnaky,-4.0,-4.0,208.5,-2 -05 / -1.5  / -1 ,-1.5,-125,-3.5 ,Boxscore,Odds
2016-2017 Regular Season,10/26/2016,Oklahoma City,Road,23,28,18,34,,,,,103,240,39,94,6,22,19,26,13,40,53,19,23,7,10,10,3,103,100.8,100.8,102.1,96.2,3+,Andre Roberson,Domantas Sabonis,Steven Adams,Victor Oladipo,Russell Westbrook,Rodney Mott,Leon Wood,-7,-7.0,208.0,-9  / -9.5 -15 / -9.5 -05,-9.0,-460,-6 -15,,
2016-2017 Regular Season,10/26/2016,Philadelphia,Home,24,27,24,22,,,,,97,240,36,84,7,24,18,25,5,38,43,21,22,5,13,14,10,97,100.8,100.8,96.2,102.1,3+,Robert Covington,Dario Saric,Joel Embiid,Gerald Henderson,Sergio Rodriguez,,Jason Phillips,208,7.0,208.0,207.5 / 208 / 208.5,209.5,+365,104,Boxscore,Odds
2016-2017 Regular Season,10/26/2016,Sacramento,Road,30,27,27,29,,,,,113,240,44,86,6,21,19,26,10,31,41,24,20,5,13,14,5,113,97.3,97.3,116.2,96.6,3+,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Arron Afflalo,Ty Lawson,Bill Spooner,Eric Lewis,210.0,3.0,210.0,212 / 211.5 / 212,211.5,+130,107,,
2016-2017 Regular Season,10/26/2016,Phoenix,Home,19,19,29,27,,,,,94,240,36,77,4,16,18,27,10,31,41,20,29,6,18,18,3,94,97.3,97.3,96.6,116.2,3+,TJ Warren,Jared Dudley,Tyson Chandler,Devin Booker,Eric Bledsoe,,Tre Maddox,-3.0,-3.0,210.0,-2.5 -15 / -2.5  / -2.5 -15,-3.0,-150,-6.5 ,Boxscore,Odds
2016-2017 Regular Season,10/26/2016,Houston,Road,38,33,25,18,,,,,114,240,44,86,7,29,19,27,10,29,39,29,23,10,14,15,1,114,100.4,100.4,113.5,119.5,3+,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Gary Zielinski,John Goble,-5,-5.0,220.0,-6 -05 / -6  / -6 -15,-6.0,-260,-1.5 ,,
2016-2017 Regular Season,10/26/2016,LA Lakers,Home,38,25,27,30,,,,,120,240,45,89,12,35,18,22,11,28,39,21,24,10,15,16,4,120,100.4,100.4,119.5,113.5,3+,Luol Deng,Julius Randle,Timofey Mozgov,Nick Young,D'Angelo Russell,,Kevin Cutler,220,5.0,220.0,224.5 / 224 / 224.5,225.0,+210,115,Boxscore,Odds
2016-2017 Regular Season,10/27/2016,Washington,Road,27,29,24,19,,,,,99,240,40,94,6,20,13,18,12,28,40,25,20,14,19,19,4,99,103.4,103.4,95.7,110.2,3+,Otto Porter,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Monty McCutchen,Bennie Adams,203.5,2.5,203.5,204 / 203.5u26 / 202,201.5,+155,101,,
2016-2017 Regular Season,10/27/2016,Atlanta,Home,29,28,24,33,,,,,114,240,44,88,12,26,14,18,14,38,52,28,19,13,21,21,7,114,103.4,103.4,110.2,95.7,3+,Kent Bazemore,Paul Millsap,Dwight Howard,Kyle Korver,Dennis Schroder,,Aaron Smith,-2.5,-2.5,203.5,-3.5 -05 / -3.5 -15 / -3.5 ,-3.5,-175,-2 ,Boxscore,Odds
2016-2017 Regular Season,10/27/2016,Boston,Road,20,29,24,26,,,,,99,240,38,76,8,23,15,24,3,33,36,22,25,6,11,12,6,99,94.7,94.7,104.5,110.9,B2B,Jae Crowder,Amir Johnson,Al Horford,Avery Bradley,Isaiah Thomas,Jason Phillips,Courtney Kirkland,-1,-1.0,210.5,208 / 208o16 / 208,208.5,-105,106.5,,
2016-2017 Regular Season,10/27/2016,Chicago,Home,30,27,22,26,,,,,105,240,36,92,11,25,22,30,18,37,55,25,21,5,12,12,1,105,94.7,94.7,110.9,104.5,3+,Jimmy Butler,Taj Gibson,Robin Lopez,Dwyane Wade,Rajon Rondo,,Eric Dalen,210.5,1.0,210.5,PK  / -1  / -1.5 ,-1.0,-115,+2 -15,Boxscore,Odds
2016-2017 Regular Season,10/27/2016,San Antonio,Road,27,26,23,26,,,,,102,240,36,79,6,18,24,27,9,31,40,23,26,10,9,10,8,102,92.0,92.0,110.8,102.1,1,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Kyle Anderson,Tony Parker,Mike Callahan,Tony Brown,-8.0,-8.0,206.0,-8  / -8 -05 / -7.5 ,-7.5,-360,-7.5 -20,,
2016-2017 Regular Season,10/27/2016,Sacramento,Home,29,28,14,23,,,,,94,240,28,70,6,20,32,38,6,34,40,22,21,7,15,16,0,94,92.0,92.0,102.1,110.8,B2B,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Arron Afflalo,Ty Lawson,,Nick Buchert,206.0,8.0,206.0,203 / 202.5 / 202,203.0,+295,107.5,Boxscore,Odds
2016-2017 Regular Season,10/27/2016,LA Clippers,Road,28,30,24,32,,,,,114,240,37,91,8,29,32,46,15,33,48,12,25,10,7,8,4,114,98.3,98.3,116.0,107.8,3+,Luc Mbah a Moute,Blake Griffin,DeAndre Jordan,JJ Redick,Chris Paul,Tony Brothers,John Goble,-1.5,-1.5,208.5,-3  / -2.5  / -2.5 -15,-2.5,-140,+2 -15,,
2016-2017 Regular Season,10/27/2016,Portland,Home,27,22,33,24,,,,,106,240,39,85,4,18,24,32,9,39,48,18,34,4,14,8,4,106,98.3,98.3,107.8,116.0,1,Maurice Harkless,Al-Farouq Aminu,Mason Plumlee,CJ McCollum,Damian Lillard,,Lauren Holtkamp,208.5,1.5,208.5,208 / 208.5 / 209.5o21,210.0,+120,105.5,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Cleveland,Road,28,22,21,23,,,,,94,240,33,79,12,32,16,22,9,31,40,20,15,8,17,18,3,94,94.4,94.4,99.6,96.4,2,LeBron James,Kevin Love,Tristan Thompson,JR Smith,Kyrie Irving,Ken Mauer,Michael Smith,-3.0,-3.0,204.5,-3 -15 / -3 -05 / -2.5 ,-2.5,-145,+2 ,,
2016-2017 Regular Season,10/28/2016,Toronto,Home,23,17,27,24,,,,,91,240,35,90,4,16,17,18,18,33,51,12,20,9,18,18,3,91,94.4,94.4,96.4,99.6,1,DeMarre Carroll,Pascal Siakam,Jonas Valanciunas,DeMar DeRozan,Kyle Lowry,,Josh Tiven,204.5,3.0,204.5,206 / 206u11 / 206,205.5,+125,100.5,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Indiana,Road,27,21,31,15,,,,,94,240,37,98,7,24,13,20,14,35,49,22,22,7,13,13,6,94,99.8,99.8,94.1,103.2,1,Paul George,Thaddeus Young,Myles Turner,Monta Ellis,Jeff Teague,Scott Foster,Leon Wood,-6.5,-6.5,211.5,-6 -14 / -6  / -6 -05,-5.5,-230,-6.5 ,,
2016-2017 Regular Season,10/28/2016,Brooklyn,Home,20,32,20,31,,,,,103,240,38,87,10,33,17,20,12,40,52,20,23,6,16,16,4,103,99.8,99.8,103.2,94.1,1,Rondae Hollis-Jefferson,Trevor Booker,Brook Lopez,Bojan Bogdanovic,Jeremy Lin,,Mark Ayotte,211.5,6.5,211.5,218.5 / 219 / 219.5,218.5,+190,109.5,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Orlando,Road,22,9,20,31,,,,,82,240,33,95,8,26,8,12,14,30,44,20,13,8,9,9,3,82,95.3,95.3,86.1,113.3,1,Aaron Gordon,Serge Ibaka,Nikola Vucevic,Evan Fournier,Elfrid Payton,Bill Kennedy,Curtis Blair,197.0,4.0,197.0,195.5 / 195 / 194.5,195.0,+160,96,,
2016-2017 Regular Season,10/28/2016,Detroit,Home,24,30,32,22,,,,,108,240,48,95,7,19,5,6,9,44,53,27,11,8,12,12,4,108,95.3,95.3,113.3,86.1,1,Tobias Harris,Marcus Morris,Andre Drummond,Kentavious Caldwell-Pope,Ish Smith,,James Williams,-4.0,-4.0,197.0,-4.5  / -4.5 EVEN / -4 -05,-4.0,-180,+4 ,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Phoenix,Road,40,13,30,19,8,,,,110,265,42,94,5,28,21,32,7,37,44,15,29,11,15,15,3,110,115.4,104.5,95.3,97.9,1,TJ Warren,Jared Dudley,Tyson Chandler,Devin Booker,Eric Bledsoe,Leroy Richardson,Zach Zarba,211,10.5,211.0,209 / 209u16 / 208.5,209.0,+280,107,,
2016-2017 Regular Season,10/28/2016,Oklahoma City,Home,25,24,28,25,11,,,,113,265,40,96,5,21,28,38,14,43,57,13,24,11,22,22,3,113,115.4,104.5,97.9,95.3,1,Andre Roberson,Domantas Sabonis,Steven Adams,Victor Oladipo,Russell Westbrook,,Justin VanDuyne,-10.5,-10.5,211.0,-8  / -7.5  / -7.5 -12,-7.5,-345,-7.5 ,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Charlotte,Road,21,25,27,24,,,,,97,240,35,92,7,22,20,24,13,36,49,20,20,10,8,8,9,97,97.7,97.7,99.3,93.1,1,Michael Kidd-Gilchrist,Marvin Williams,Roy Hibbert,Nicolas Batum,Kemba Walker,Rodney Mott,Derek Richardson,198.0,1.5,198.0,-1 -04 / PK  / -1 -15,-1.5,-120,-4 -15,,
2016-2017 Regular Season,10/28/2016,Miami,Home,23,34,20,14,,,,,91,240,32,86,14,34,13,20,11,41,52,19,23,2,19,20,4,91,97.7,97.7,93.1,99.3,1,Luke Babbitt,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,,Matt Boland,-1.5,-1.5,198.0,197 / 197.5 / 197.5u26,197.0,+100,97.5,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Houston,Road,24,28,25,29,,,,,106,240,33,70,15,32,25,31,5,36,41,21,22,6,18,19,1,106,94.1,94.1,112.7,104.2,1,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Ed Malloy,Eric Lewis,217,2.0,217.0,-2  / -2.5  / -1.5 ,-2.0,-130,-1 ,,
2016-2017 Regular Season,10/28/2016,Dallas,Home,24,26,17,31,,,,,98,240,35,80,8,29,20,24,6,28,34,13,21,11,9,10,2,98,94.1,94.1,104.2,112.7,1,Harrison Barnes,Wesley Matthews,Andrew Bogut,J.J. Barea,Deron Williams,,Ben Taylor,-2,-2.0,217.0,218 / 218.5 / 218,218.5,+110,107,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,LA Lakers,Road,27,16,22,24,,,,,89,240,32,84,9,23,16,21,11,32,43,16,29,6,14,17,7,89,93.6,93.6,95.1,102.6,1,Luol Deng,Julius Randle,Timofey Mozgov,Nick Young,D'Angelo Russell,Bill Spooner,Pat Fraher,199.0,9.5,199.0,201.5 / 201 / 201.5,202.0,+370,100,,
2016-2017 Regular Season,10/28/2016,Utah,Home,28,20,17,31,,,,,96,240,31,75,6,25,28,40,13,34,47,14,18,4,14,14,7,96,93.6,93.6,102.6,95.1,2,Joe Johnson,Boris Diaw,Rudy Gobert,Rodney Hood,George Hill,,Gediminas Petraitis,-9.5,-9.5,199.0,-9  / -9 -15 / -9.5 ,-9.0,-465,-4 ,Boxscore,Odds
2016-2017 Regular Season,10/28/2016,Golden State,Road,32,27,33,30,,,,,122,240,44,91,9,28,25,28,9,40,49,32,22,8,14,14,2,122,108.7,108.7,112.2,104.8,2,Kevin Durant,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,Scott Wall,Tom Washington,-9.5,-9.5,217.0,-12 -15 / -12  / -12 -15,-12.5,-1000,-5 ,,
2016-2017 Regular Season,10/28/2016,New Orleans,Home,22,28,31,33,,,,,114,240,47,100,5,22,15,23,12,37,49,29,24,8,13,15,5,114,108.7,108.7,104.8,112.2,1,Solomon Hill,Anthony Davis,Omer Asik,E'Twaun Moore,Tim Frazier,,Marat Kogut,217,9.5,217.0,223 / 222.5 / 223,223.5,+700,110.5,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Atlanta,Road,29,24,21,30,,,,,104,240,42,85,5,20,15,23,6,41,47,31,14,11,12,12,7,104,100.3,100.3,103.7,71.8,1,Kent Bazemore,Paul Millsap,Dwight Howard,Kyle Korver,Dennis Schroder,Derrick Stafford,Courtney Kirkland,-6.5,-6.5,205.0,-7.5  / -7.5 -23 / -8 ,-8.0,-385,-0.5 ,,
2016-2017 Regular Season,10/29/2016,Philadelphia,Home,24,15,19,14,,,,,72,240,28,80,5,18,11,15,4,35,39,16,20,9,20,20,5,72,100.3,100.3,71.8,103.7,2,Robert Covington,Dario Saric,Joel Embiid,Gerald Henderson,Sergio Rodriguez,,Kevin Cutler,205.0,6.5,205.0,203 / 201.5 / 201,202.0,+315,103,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Boston,Road,28,16,27,33,,,,,104,240,39,81,15,31,11,17,4,38,42,25,26,4,13,13,6,104,95.1,95.1,109.4,103.1,3IN4,Jae Crowder,Amir Johnson,Al Horford,Avery Bradley,Isaiah Thomas,Monty McCutchen,Mark Ayotte,-1.5,-1.5,206.0,-2.5  / -2.5 -15 / -3 ,-3.0,-140,-1 ,,
2016-2017 Regular Season,10/29/2016,Charlotte,Home,19,22,31,26,,,,,98,240,32,79,9,32,25,33,6,32,38,22,17,8,8,9,6,98,95.1,95.1,103.1,109.4,3IN4-B2B,Michael Kidd-Gilchrist,Marvin Williams,Cody Zeller,Nicolas Batum,Kemba Walker,,Aaron Smith,206,1.5,206.0,204 / 203 / 202.5,202.0,+120,103,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Memphis,Road,19,30,28,27,,,,,104,240,37,86,9,25,21,26,11,29,40,19,30,3,12,12,2,104,96.9,96.9,107.3,114.5,2,James Ennis III,JaMychal Green,Marc Gasol,Mike Conley,Andrew Harrison,James Capers,Gary Zielinski,200.0,2.5,200.0,199.5 / 200u26 / 199.5,199.0,+135,100,,
2016-2017 Regular Season,10/29/2016,New York,Home,32,25,25,29,,,,,111,240,40,76,6,21,25,39,6,35,41,24,25,4,12,13,4,111,96.9,96.9,114.5,107.3,3+,Carmelo Anthony,Kristaps Porzingis,Joakim Noah,Courtney Lee,Derrick Rose,,Steve Anderson,-2.5,-2.5,200.0,-3  / -3 -05 / -3 ,-3.0,-155,+1.5 ,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Orlando,Road,20,25,17,37,,,,,99,240,38,84,8,28,15,26,13,37,50,21,23,6,20,21,5,99,97.0,97.0,102.1,108.3,3IN4-B2B,Aaron Gordon,Serge Ibaka,Nikola Vucevic,Evan Fournier,Elfrid Payton,Dan Crawford,Brian Forte,207,11.5,207.0,203.5 / 204.5 / 205,205.5,+525,101.5,,
2016-2017 Regular Season,10/29/2016,Cleveland,Home,33,29,18,25,,,,,105,240,36,88,11,37,22,30,13,27,40,17,27,8,9,9,6,105,97.0,97.0,108.3,102.1,B2B,LeBron James,Kevin Love,Tristan Thompson,JR Smith,Kyrie Irving,,CJ Washington,-11.5,-11.5,207.0,-11.5 -05 / -11  / -10.5 ,-11.0,-725,-1.5 ,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Indiana,Road,20,21,26,34,,,,,101,240,43,88,7,18,8,9,8,25,33,34,16,8,13,13,7,101,93.4,93.4,108.1,126.3,3IN4-B2B,Paul George,Thaddeus Young,Myles Turner,Monta Ellis,Jeff Teague,Zach Zarba,Curtis Blair,211.0,3.0,211.0,209u21 / 209 / 209o21,210.0,+145,103.5,,
2016-2017 Regular Season,10/29/2016,Chicago,Home,24,38,30,26,,,,,118,240,45,86,9,21,19,21,13,34,47,34,14,8,12,12,6,118,93.4,93.4,126.3,108.1,1,Jimmy Butler,Taj Gibson,Robin Lopez,Dwyane Wade,Rajon Rondo,,Mark Lindsay,-3.0,-3.0,211.0,-3.5  / -3.5 -05 / -3.5 ,-3.5,-165,+4.5 ,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Brooklyn,Road,18,23,32,35,,,,,108,240,37,84,11,34,23,28,11,34,45,23,22,12,18,18,6,108,101.7,101.7,106.2,108.1,3IN4-B2B,Rondae Hollis-Jefferson,Trevor Booker,Justin Hamilton,Bojan Bogdanovic,Jeremy Lin,Mike Callahan,Brett Nansel,206,6.5,206.0,206 / 205.5 / 205,205.5,+300,103.5,,
2016-2017 Regular Season,10/29/2016,Milwaukee,Home,24,22,34,30,,,,,110,240,41,88,8,22,20,24,8,36,44,25,23,14,14,14,5,110,101.7,101.7,108.1,106.2,2,Tony Snell,Jabari Parker,Miles Plumlee,Giannis Antetokounmpo,Matthew Dellavedova,,James Williams,-6.5,-6.5,206.0,-8  / -8 -15 / -8 -12,-8.0,-365,-3 ,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,New Orleans,Road,23,22,15,19,,,,,79,240,32,86,4,22,11,15,7,38,45,14,19,6,9,10,5,79,94.6,94.6,83.5,103.6,3IN4-B2B,Solomon Hill,Anthony Davis,Omer Asik,E'Twaun Moore,Tim Frazier,Derrick Collins,John Goble,205.0,12.5,205.0,203.5 / 204 / 203,203.5,+1000,100,,
2016-2017 Regular Season,10/29/2016,San Antonio,Home,28,27,28,15,,,,,98,240,35,83,10,24,18,23,6,44,50,21,15,6,9,10,7,98,94.6,94.6,103.6,83.5,1,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Kyle Anderson,Patty Mills,,Justin VanDuyne,-12.5,-12.5,205.0,-13.5 -15 / -14  / -14 -05,-14.0,-2000,-5 ,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Portland,Road,33,29,19,23,11,,,,115,265,45,98,10,32,15,21,5,40,45,23,30,10,15,16,8,115,115.2,104.3,99.8,98.1,1,Maurice Harkless,Al-Farouq Aminu,Mason Plumlee,CJ McCollum,Damian Lillard,Bennie Adams,Pat Fraher,211,1.0,211.0,-1  / PK  / -1.5 ,-1.5,-130,+1.5 ,,
2016-2017 Regular Season,10/29/2016,Denver,Home,28,26,34,16,9,,,,113,265,38,100,6,23,31,39,16,45,61,19,21,10,17,17,5,113,115.2,104.3,98.1,99.8,2,Danilo Gallinari,Nikola Jokic,Jusuf Nurkic,Will Barton,Emmanuel Mudiay,,Tre Maddox,-1,-1.0,211.0,211 / 211.5 / 211.5o24,212.5,+110,105,Boxscore,Odds
2016-2017 Regular Season,10/29/2016,Minnesota,Road,34,31,12,26,,,,,103,240,37,70,7,22,22,31,7,29,36,19,25,6,11,14,5,103,90.9,90.9,113.4,116.7,2,Andrew Wiggins,Gorgui Dieng,Karl-Anthony Towns,Zach LaVine,Ricky Rubio,Tony Brothers,Ron Garretson,-2.5,-2.5,204.5,-1.5  / PK  / PK +11,0.0,-120,+3.5 ,,
2016-2017 Regular Season,10/29/2016,Sacramento,Home,25,29,31,21,,,,,106,240,39,85,9,26,19,25,11,20,31,24,24,6,13,13,5,106,90.9,90.9,116.7,113.4,3IN4,Rudy Gay,DeMarcus Cousins,Kosta Koufos,Arron Afflalo,Ty Lawson,,Lauren Holtkamp,204.5,2.5,204.5,202 / 202o17 / 202.5,203.0,+100,102.5,Boxscore,Odds
